customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0704-VCUMB,0,0,1,0,61,1,0,0,2,2,2,2,2,2,2,0,3,20.25,1278.8,0
4547-LYTDD,0,0,0,0,16,1,1,2,0,0,0,0,0,0,0,0,0,72.65,1194.3,1
0991-BRRFB,1,0,0,0,18,1,0,1,1,0,0,0,0,0,0,0,0,49.4,874.8,1
0471-LVHGK,1,0,1,0,41,1,1,1,0,0,1,0,1,1,1,1,0,73.0,3001.2,1
2332-EFBJY,1,0,0,0,16,1,0,0,2,2,2,2,2,2,0,1,1,19.7,342.4,1
7233-DRTRF,1,0,1,0,63,1,1,2,0,1,1,0,1,1,0,1,0,102.4,6444.05,0
8148-BPLZQ,1,0,0,0,34,1,0,1,0,1,0,0,0,0,0,1,0,49.8,1734.2,0
2625-TRCZQ,0,0,1,0,51,0,2,1,0,1,0,0,1,1,0,1,0,49.65,2553.35,0
5167-ZFFMM,1,0,0,0,1,1,1,2,0,1,0,0,0,1,0,1,3,90.85,90.85,1
2018-QKYGT,1,0,1,1,1,1,0,2,0,0,0,0,0,1,0,1,0,81.05,81.05,0
2640-LYMOV,1,0,0,0,2,1,0,0,2,2,2,2,2,2,0,1,1,19.65,38.8,0
6840-RESVB,1,0,1,1,24,1,1,1,1,0,1,1,1,1,1,1,1,84.8,1990.5,0
6258-NGCNG,1,0,0,0,7,1,1,0,2,2,2,2,2,2,0,0,1,23.5,173,0
7851-FLGGQ,1,0,0,0,1,0,2,1,0,1,0,1,0,1,0,1,1,44.65,44.65,1
2362-IBOOY,1,0,0,0,36,1,1,2,0,0,0,0,0,1,0,1,0,84.75,3050.15,1
9646-NMHXE,1,0,1,0,47,1,0,0,2,2,2,2,2,2,2,0,1,19.65,973.1,0
4522-XRWWI,1,0,1,0,42,1,1,1,1,0,0,1,1,1,1,0,3,80.45,3375.9,0
5356-RHIPP,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,1,1,20.2,20.2,1
9281-OFDMF,1,1,0,0,39,1,1,2,0,1,0,0,0,1,0,0,0,90.7,3413.25,0
8779-QRDMV,1,1,0,0,1,0,2,1,0,0,1,0,0,1,0,1,0,39.65,39.65,1
6283-GITPX,1,0,0,1,71,1,0,1,1,1,1,1,1,0,2,1,3,76.9,5522.7,0
1689-MRZQR,1,0,1,1,34,1,0,2,0,0,0,0,1,0,0,0,0,78.3,2564.3,1
4903-CNOZC,1,0,0,0,29,1,1,1,0,1,1,0,0,1,1,0,3,70.9,1964.6,0
7517-SAWMO,0,0,1,0,19,1,0,2,1,0,0,0,0,0,0,1,0,73.2,1441.1,1
9907-SWKKF,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,25.05,25.05,1
1543-LLLFT,1,1,1,0,61,1,1,2,0,1,1,1,1,0,1,1,1,98.3,6066.55,0
0431-APWVY,0,0,1,1,28,1,0,2,0,0,0,0,1,1,1,1,2,90.1,2598.95,1
4342-HENTK,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,70.65,142.35,1
7239-HZZCX,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,19.75,19.75,1
9378-FXTIZ,0,0,1,0,54,1,1,1,0,0,0,0,1,1,1,1,3,70.15,3715.65,1
1120-BMWUB,0,0,0,0,16,1,0,1,0,1,0,1,0,0,0,1,1,53.9,834.15,1
9063-ZGTUY,0,0,1,1,61,1,0,0,2,2,2,2,2,2,0,1,1,19.4,1182.55,1
4009-ALQFH,0,0,0,0,25,1,0,2,0,1,1,0,1,1,0,1,0,99.5,2369.05,1
9046-DQMTP,1,0,0,0,35,1,0,0,2,2,2,2,2,2,0,0,2,20.75,739.9,0
3397-AVTKU,1,0,0,0,43,1,0,1,0,1,0,0,0,1,2,1,0,60.0,2548.55,0
9773-PEQBZ,1,0,0,0,10,1,1,2,0,1,0,0,0,0,0,0,0,79.85,797.25,0
3957-SQXML,0,0,1,1,34,1,1,0,2,2,2,2,2,2,2,0,3,24.95,894.3,0
0193-ESZXP,0,1,1,0,58,1,0,2,1,1,0,1,1,1,1,1,3,105.5,6205.5,1
8224-UAXBZ,0,0,1,0,58,0,2,1,1,1,0,0,1,0,1,1,0,45.35,2540.1,0
7138-GIRSH,1,0,0,0,50,1,1,1,0,0,1,1,0,1,2,0,2,69.5,3418.2,0
3030-ZKIWL,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.05,20.05,0
7434-SHXLS,0,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.9,20.9,1
6996-KNSML,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,74.9,74.9,1
4616-ULAOA,0,0,1,1,65,1,1,2,0,1,1,1,1,1,2,1,3,110.8,7245.9,0
2612-RANWT,0,0,0,0,12,1,1,2,0,0,1,0,1,1,0,1,2,100.15,1164.3,1
8226-BXGES,1,0,1,0,64,1,1,2,1,1,1,0,0,0,1,0,2,89.45,5692.65,0
7137-RYLPP,1,1,1,0,37,1,1,2,0,0,0,0,1,0,0,1,0,85.7,3171.15,1
5052-PNLOS,1,0,0,0,3,1,1,2,0,1,1,0,1,1,0,1,2,105.35,323.25,1
8580-AECUZ,1,1,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,79.1,79.1,1
5899-MQZZL,0,0,0,0,13,1,1,2,0,0,0,0,0,0,0,1,1,75.0,999.45,1
7764-BDPEE,1,0,0,1,3,1,0,0,2,2,2,2,2,2,0,0,1,20.85,60.65,0
0356-OBMAC,0,1,0,0,56,1,1,2,0,1,1,1,1,0,2,1,2,99.9,5706.3,0
8945-GRKHX,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,78.65,78.65,1
0750-EKNGL,1,0,0,0,7,1,0,0,2,2,2,2,2,2,0,0,1,20.75,141.1,0
7131-ZQZNK,0,0,1,1,60,0,2,1,1,0,1,1,1,1,2,0,3,59.85,3590.2,0
2439-QKJUL,1,0,0,0,5,1,0,0,2,2,2,2,2,2,0,0,1,20.25,109.8,0
7706-YLMQA,0,0,0,0,70,1,0,0,2,2,2,2,2,2,1,0,2,19.7,1341.5,0
5520-FVEWJ,0,0,1,1,12,1,1,2,0,1,1,0,0,0,0,1,0,84.5,916.9,1
5712-AHQNN,0,0,0,0,43,1,0,2,0,1,1,0,1,0,0,1,0,91.65,3954.1,0
8699-ASUFO,1,1,1,0,7,1,1,2,0,0,0,0,0,0,0,1,1,74.4,527.9,1
8496-DMZUK,1,0,0,0,30,1,1,2,1,1,1,0,0,0,1,0,2,90.4,2820.65,0
7470-MCQTK,0,0,1,0,13,0,2,1,0,0,1,0,1,1,0,1,2,48.75,633.4,1
6956-SMUCM,0,0,0,0,3,1,0,2,1,0,1,0,1,1,0,1,3,99.0,287.4,1
9863-JZAIC,1,0,0,0,35,1,0,1,0,0,0,0,1,0,0,0,1,55.0,2010.55,1
7802-EFKNY,1,0,1,0,5,0,2,1,0,0,0,0,0,0,0,1,0,24.95,100.4,1
5982-PSMKW,0,0,1,1,23,1,1,1,1,1,1,1,1,1,2,1,3,91.1,2198.3,0
5536-SLHPM,0,0,1,0,55,1,1,2,0,0,1,0,0,0,0,1,0,77.75,4458.15,1
9095-HFAFX,0,0,0,0,5,1,0,2,0,0,0,0,1,0,0,1,3,81.0,389.6,1
2055-PDADH,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,1,0,70.4,204.7,1
9318-NKNFC,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,1,1,18.85,18.85,1
9819-FBNSV,1,1,1,0,37,1,0,2,0,0,0,0,0,0,0,1,2,72.25,2575.45,0
5440-VHLUL,1,0,0,0,69,1,1,2,0,1,0,1,1,1,1,1,2,105.2,7386.05,0
5349-IECLD,1,0,0,0,2,1,0,2,0,0,1,0,1,1,0,0,0,94.95,178.1,1
5887-IKKYO,1,0,1,1,58,1,1,2,0,0,1,1,0,1,2,0,2,94.35,5563.65,0
1919-RTPQD,1,0,1,1,7,1,0,1,0,0,0,0,0,0,0,0,0,44.75,333.65,0
6993-YCOBK,1,0,1,1,60,1,1,2,1,0,1,1,1,1,2,1,0,110.6,6586.85,0
5012-YSPJJ,1,0,1,1,31,1,0,1,0,0,1,1,0,0,0,0,1,54.35,1647,0
4644-PIZRT,1,0,1,1,17,1,1,1,1,0,1,0,1,0,1,1,2,70.35,1201.65,0
1599-EAHXY,1,0,1,1,60,1,1,0,2,2,2,2,2,2,1,0,3,23.95,1506.4,0
3164-AALRN,1,0,0,0,5,1,0,1,0,0,1,0,1,1,1,1,1,70.0,347.4,1
3908-BLSYF,0,0,0,0,6,1,0,2,0,0,1,0,0,1,0,0,0,83.9,497.55,1
9589-ABEPT,1,0,1,0,69,1,1,2,0,1,0,1,1,0,2,1,1,92.45,6460.55,0
6210-KBBPI,1,1,0,0,9,1,1,2,0,1,0,0,1,1,0,1,3,99.45,919.4,1
3500-NSDOA,1,0,1,1,68,1,1,1,0,1,0,1,0,1,2,0,3,70.8,4859.95,0
8992-OBVDG,1,0,0,0,21,1,0,1,0,0,1,0,0,1,0,0,1,61.65,1393.6,0
0430-IHCDJ,1,0,0,0,15,1,1,1,0,0,0,0,0,0,0,1,0,49.0,749.25,0
9962-BFPDU,0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,1,20.05,20.05,0
5572-ZDXHY,0,0,0,0,22,1,0,2,0,1,0,0,0,1,0,1,1,84.3,1855.65,1
8168-UQWWF,0,0,0,0,11,1,1,2,0,0,1,0,1,1,0,1,2,97.85,1105.4,1
8651-ENBZX,0,1,0,0,60,1,1,2,0,0,1,1,1,1,1,1,0,106.0,6441.4,1
5154-VEKBL,0,0,0,0,9,0,2,1,1,0,1,1,1,1,0,0,1,58.5,539.85,1
0817-HSUSE,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,75.5,75.5,0
2108-XWMPY,1,0,0,0,3,0,2,1,1,1,0,0,0,0,0,1,1,35.45,106.85,1
1383-EZRWL,0,0,0,0,7,1,0,0,2,2,2,2,2,2,0,0,1,20.05,164.85,1
5624-BQSSA,0,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.95,20.95,1
9090-SGQXL,1,1,1,0,68,1,1,2,0,1,1,0,1,1,0,1,0,105.3,7299.65,1
1705-GUHPV,0,0,0,0,63,1,1,0,2,2,2,2,2,2,2,0,1,24.2,1618.2,0
9391-EOYLI,1,1,1,0,12,1,0,2,0,0,0,0,0,1,0,1,0,80.45,950.2,1
5170-PTRKA,0,0,1,1,49,0,2,1,1,0,0,1,0,0,1,1,3,35.8,1782,0
4877-EVATK,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.0,20,1
6437-UDQJM,0,1,1,0,72,1,1,1,1,1,1,0,1,1,2,1,3,84.1,6129.65,0
6651-RLGGM,1,0,1,1,67,1,1,0,2,2,2,2,2,2,2,0,1,26.3,1688.9,0
1776-SPBWV,0,0,1,1,34,1,0,0,2,2,2,2,2,2,1,1,2,20.1,682.1,0
3889-VWBID,1,0,1,1,68,1,0,1,1,1,0,1,1,1,2,0,2,82.85,5776.45,0
1768-ZAIFU,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,25.2,25.2,1
3799-ISUZQ,1,0,1,1,7,1,0,2,0,0,0,0,0,0,0,1,2,69.95,529.5,1
8861-HGGKB,0,0,0,0,10,1,1,2,0,0,0,0,0,1,0,0,0,86.45,830.85,1
6319-IEJWJ,1,0,1,1,20,1,0,2,0,0,0,0,1,1,0,1,0,90.2,1776.55,1
1875-QIVME,0,0,1,0,2,1,1,2,0,0,1,1,1,1,0,1,0,104.4,242.8,1
6890-PFRQX,1,0,0,0,18,1,1,1,1,0,1,0,1,0,0,0,1,69.5,1199.4,0
8267-ZNYVZ,0,0,1,0,33,1,0,2,1,0,1,1,1,1,1,1,0,103.75,3361.05,1
6522-YRBXD,1,1,1,0,35,1,1,2,1,1,0,0,0,1,0,1,0,94.55,3365.4,0
9367-WXLCH,1,0,0,0,8,1,1,2,0,0,0,0,0,1,0,0,2,84.5,662.65,1
5130-IEKQT,1,1,0,0,25,1,1,2,0,1,1,0,1,1,0,0,1,105.95,2655.25,1
4395-PZMSN,1,1,0,0,5,1,0,2,0,1,0,0,0,1,0,1,0,85.55,408.5,0
5685-IIXLY,0,0,1,1,5,1,0,2,0,1,0,0,0,1,0,1,0,83.6,404.2,1
8696-JKZNU,0,1,0,0,37,1,1,2,0,0,0,0,0,0,0,1,0,76.25,2841.55,1
9103-TCIHJ,0,0,0,0,15,1,1,1,1,0,0,0,0,0,0,1,1,55.7,899.8,1
3319-DWOEP,1,1,1,0,6,1,0,2,0,0,1,0,1,1,0,1,0,95.75,573.75,1
1685-BQULA,0,0,0,0,40,1,1,2,0,1,1,0,1,0,0,1,2,93.4,3756.4,0
6959-UWKHF,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,42.9,42.9,1
0455-XFASS,0,0,1,1,3,1,0,2,0,0,0,0,0,0,0,1,0,69.55,200.2,0
0839-JTCUD,0,0,1,1,66,1,1,1,1,1,1,1,1,1,2,0,3,89.9,5958.85,0
2710-WYVXG,0,0,0,0,3,1,0,1,1,1,0,1,0,1,2,0,1,71.1,213.35,0
6671-NGWON,0,0,0,0,7,1,0,0,2,2,2,2,2,2,0,0,1,20.35,150.6,0
7493-TPUWZ,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,0,79.15,79.15,1
5090-EMGTC,0,0,1,0,59,1,0,2,0,1,0,1,1,1,2,1,1,100.05,6034.85,0
3540-RZJYU,0,0,0,0,15,1,0,2,1,0,0,0,1,0,0,0,0,86.2,1270.2,1
4377-VDHYI,1,0,1,1,32,1,0,2,1,1,0,0,0,1,1,1,0,90.8,3023.85,0
0141-YEAYS,0,1,0,0,27,1,1,2,0,1,1,0,0,0,0,1,2,86.45,2401.05,0
9967-ATRFS,0,0,0,0,19,1,0,0,2,2,2,2,2,2,0,0,1,19.9,367.55,0
5127-BZENZ,0,0,1,1,56,1,1,1,1,0,0,0,1,0,1,0,2,65.2,3512.15,0
3795-CAWEX,1,0,1,1,70,1,1,2,1,1,1,1,1,1,2,1,3,116.55,8152.3,0
8182-PNAGI,1,0,0,0,12,1,0,1,0,0,0,1,0,0,0,0,2,50.25,593.75,1
7714-YXSMB,0,0,0,0,26,1,1,2,0,0,1,0,1,1,0,1,2,100.5,2599.95,0
8547-NSBBO,1,0,0,0,35,1,1,2,1,1,1,1,0,0,0,1,1,96.75,3403.4,0
2626-URJFX,1,0,1,1,4,1,1,1,0,0,0,0,0,0,0,1,0,50.9,225.6,1
1678-FYZOW,0,0,0,0,3,1,0,2,0,0,0,0,1,0,0,1,0,79.4,244.65,1
9330-IJWIO,0,0,0,0,13,1,1,2,1,0,0,0,1,1,0,1,0,100.35,1358.85,1
4623-ZKHLY,1,0,1,0,22,1,0,0,2,2,2,2,2,2,0,1,2,20.45,471.55,0
0137-OCGAB,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,1,80.2,80.2,1
8791-GFXLZ,1,0,0,0,12,1,0,1,0,1,0,0,0,0,0,1,2,49.05,593.05,0
1934-SJVJK,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.15,20.15,1
3886-CERTZ,0,0,1,0,72,1,1,2,0,1,1,1,1,1,1,1,0,109.25,8109.8,1
6166-ILMNY,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,2,69.75,144.55,1
8357-EQXFO,0,0,0,0,7,1,0,2,0,0,1,0,1,1,0,1,0,95.35,660.9,1
9450-TRJUU,1,0,0,0,35,1,1,2,0,0,0,0,1,0,0,0,0,83.15,2848.45,0
2824-MYYBN,0,0,1,1,37,1,1,2,0,0,0,0,1,1,0,1,0,95.25,3314.15,0
7881-EVUAD,0,0,0,0,2,0,2,1,1,1,0,0,0,1,0,1,0,42.6,72.4,1
4785-QRJHC,1,1,1,0,46,0,2,1,0,1,1,1,1,1,1,1,2,59.9,2816.65,1
1389-CXMLU,1,1,0,0,3,1,1,2,0,0,1,0,1,0,0,0,0,91.05,289.1,1
7892-QVYKW,0,0,1,1,23,1,1,2,0,0,0,0,0,1,0,0,0,85.6,1868.4,0
9136-ALYBR,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,24.45,24.45,1
7752-XUSCI,0,0,0,0,60,1,1,2,0,1,1,0,1,1,0,1,0,105.9,6396.45,1
6946-LMSQS,1,1,1,0,25,1,1,2,1,0,0,0,0,1,1,1,0,89.05,2177.45,1
3329-WDIOK,0,0,0,0,3,0,2,1,0,1,0,0,1,1,0,1,0,50.6,155.35,1
7854-FOKSF,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,35.9,35.9,1
5644-PDMZC,0,1,0,0,2,1,1,2,0,1,0,0,0,1,0,0,0,89.5,161.5,1
2482-CZGBB,1,0,0,0,10,1,0,2,0,0,0,0,0,0,0,1,0,70.0,740,1
9492-TOKRI,0,0,0,0,18,1,1,2,0,1,0,0,1,0,0,1,3,90.0,1527.35,1
7407-SUJIZ,1,0,0,0,25,1,0,0,2,2,2,2,2,2,0,0,1,20.6,541.5,0
9347-AERRL,1,0,1,0,23,1,0,0,2,2,2,2,2,2,1,0,3,19.3,486.2,0
7967-HYCDE,1,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,2,70.7,553.4,0
6195-MELTI,1,0,0,0,57,1,0,1,0,1,0,1,0,0,1,1,1,54.65,3134.7,0
5394-SVGJV,1,0,0,0,37,1,1,2,0,0,0,1,1,1,0,0,2,98.8,3475.55,1
2957-JIRMN,0,1,0,0,62,1,1,2,0,0,0,0,1,0,1,0,0,84.45,4959.15,0
4128-ETESU,0,1,1,0,47,1,1,2,0,0,1,0,1,1,0,0,0,99.7,4747.2,0
2384-OVPSA,0,1,0,0,38,1,0,0,2,2,2,2,2,2,2,0,1,20.2,735.9,0
3085-QUOZK,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,43.95,43.95,1
4075-JFPGR,0,0,1,0,51,1,0,2,1,1,1,0,1,0,1,1,0,93.5,4619.55,0
9170-GYZJC,0,0,1,1,41,1,1,1,1,1,1,1,0,1,0,0,3,79.9,3326.2,1
7129-CAKJW,0,0,0,0,17,1,1,2,0,0,1,0,0,0,0,0,2,80.05,1345.65,0
0248-PGHBZ,0,1,0,0,67,1,0,2,1,1,0,1,1,0,2,1,2,92.45,6140.85,0
0520-FDVVT,1,0,0,0,35,1,0,2,0,1,1,0,1,1,1,1,2,102.35,3626.1,1
1472-TNCWL,1,0,0,1,36,1,0,2,0,1,0,0,1,1,0,1,0,94.7,3512.5,0
3932-CMDTD,0,0,0,0,4,1,0,2,0,1,1,1,1,1,1,1,0,105.65,443.9,1
8806-EAGWC,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,1,55.15,159.15,1
5732-IKGQH,1,1,1,0,52,1,0,2,1,0,1,1,1,1,1,1,2,104.45,5481.25,0
0407-BDJKB,1,0,1,0,60,1,1,2,0,1,1,0,1,0,0,1,0,95.75,5742.9,1
0277-ORXQS,1,0,1,1,66,0,2,1,0,0,0,1,1,1,2,0,2,50.55,3364.55,0
1894-IGFSG,0,0,0,0,22,1,0,2,0,0,0,0,1,1,0,0,0,89.25,1907.85,1
1455-UGQVH,1,0,1,0,10,1,1,2,0,0,1,0,1,1,0,1,0,98.5,1037.75,1
6221-AVQYL,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,3,73.25,131.05,1
5014-WUQMG,1,0,1,1,47,1,0,2,1,1,1,0,0,1,1,1,0,96.1,4391.45,0
4424-TKOPW,1,1,0,0,2,1,1,2,0,0,0,0,1,1,0,1,0,93.85,196.75,1
3721-CNEYS,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,70.95,137.95,1
1996-DBMUS,0,1,1,0,48,1,0,2,0,0,0,0,0,0,0,1,2,70.65,3545.05,0
3244-DCJWY,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,70.25,70.25,1
2911-UREFD,0,0,1,0,39,0,2,1,1,0,1,0,1,1,0,0,0,55.9,2184.35,1
9823-EALYC,1,0,1,1,72,1,1,1,1,1,1,1,1,0,2,1,2,80.85,5727.45,0
8148-NLEGT,0,0,1,1,42,1,1,0,2,2,2,2,2,2,2,0,0,22.95,1014.25,0
2722-VOJQL,1,0,0,0,64,1,1,2,0,1,0,1,1,1,1,1,3,105.65,6903.1,1
6496-SLWHQ,1,1,0,0,3,1,1,2,0,1,1,0,1,1,0,1,0,105.0,294.45,1
4673-KKSLS,0,0,0,0,31,1,0,2,1,0,1,1,0,0,0,0,0,87.6,2724.25,0
0623-GDISB,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,48.45,48.45,0
8414-MYSHR,1,1,0,0,5,1,0,2,0,0,0,0,1,1,0,1,0,91.4,449.75,1
3858-VOBET,1,0,0,0,23,1,1,2,0,0,0,0,0,0,0,1,0,74.95,1710.45,1
3249-ZPQRG,1,0,0,0,4,1,1,2,0,1,0,0,0,0,0,0,0,78.45,330.05,1
8749-JMNKX,1,1,1,0,51,1,1,2,1,0,1,0,1,0,0,1,2,93.8,4750.95,1
1767-TGTKO,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,1,0,45.45,411.75,0
1891-FZYSA,1,1,1,0,69,1,1,2,0,1,0,0,1,0,0,1,0,89.95,6143.15,1
0906-QVPMS,1,0,1,0,72,1,1,2,1,1,1,1,1,1,2,0,2,115.15,8349.45,0
3338-CVVEH,1,0,0,0,12,1,1,2,0,0,0,0,1,1,0,0,0,94.55,1173.55,0
6900-PXRMS,1,1,1,1,26,1,1,2,0,1,1,0,1,1,0,0,0,105.75,2710.25,1
7036-TYDEC,0,0,0,0,69,1,1,2,0,0,1,1,1,1,2,0,0,104.0,7028.5,0
2640-PMGFL,1,0,0,1,27,1,1,2,0,0,0,1,0,0,0,1,0,79.5,2180.55,1
2188-SXWVT,0,0,0,0,34,1,0,1,1,1,0,0,0,0,1,0,1,55.0,1885.15,0
0379-DJQHR,1,0,1,1,67,1,0,1,1,1,1,0,1,1,2,0,3,81.35,5398.6,0
9391-DXGGG,0,1,0,0,44,1,0,2,0,1,1,0,0,1,1,0,3,89.15,3990.75,0
